,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists
"Monday, 19 August 2019",9,331,315,201,435,99,,34,636,545,107,,89,36,192,504,309,23,360,7,796,250,20,883,1313,789,113,275,41,1007,1298,7,27,258,41,190,366,950,224,484,107,105,262,104,237
"Tuesday, 20 August 2019",4,300,301,162,333,91,,,575,459,94,,69,36,190,415,310,15,310,16,646,180,6,731,1139,603,77,221,32,807,1074,7,26,217,37,125,309,826,172,414,62,86,234,105,170
"Wednesday, 21 August 2019",3,262,275,146,353,73,,,558,380,91,,65,39,168,433,254,12,307,9,610,184,18,736,983,469,95,197,39,752,1109,10,22,197,28,142,296,700,139,406,45,80,237,127,152
"Thursday, 22 August 2019",1,199,206,124,282,48,,,438,316,102,,59,35,135,326,178,10,168,0,433,96,13,536,713,294,64,153,45,548,887,4,19,164,14,80,228,530,111,281,33,40,217,112,77
"Friday, 23 August 2019",1,162,204,97,223,34,,1,425,269,91,,67,26,116,287,182,9,239,2,433,99,20,511,712,301,64,130,30,519,852,3,19,163,23,64,182,542,108,307,19,30,199,91,91
"Saturday, 24 August 2019",13,109,76,250,154,119,,48,213,253,49,,60,27,46,243,297,3,293,21,245,422,38,210,497,548,118,352,50,563,933,13,18,83,26,187,130,668,56,497,64,242,117,109,176
"Sunday, 25 August 2019",15,157,85,283,97,101,,25,202,229,24,,48,27,42,199,276,13,250,28,231,311,13,221,482,519,89,341,29,551,656,5,14,98,20,152,95,640,68,383,154,210,102,69,241
"Monday, 26 August 2019",1,285,287,137,340,83,,22,598,460,109,,68,36,165,439,223,24,310,4,711,177,22,785,1131,553,112,174,39,838,1175,4,22,216,29,133,295,770,181,387,70,71,243,106,183
"Tuesday, 27 August 2019",10,331,348,239,436,142,,38,782,575,102,,78,36,187,570,299,30,384,14,858,256,24,912,1398,755,112,264,39,963,1328,8,29,256,34,215,344,983,201,488,93,164,298,134,231
"Wednesday, 28 August 2019",4,329,327,251,447,103,,22,750,586,109,,66,39,199,528,291,27,435,6,813,336,25,974,1382,773,118,299,52,1086,1488,8,41,242,34,244,324,949,218,593,74,113,322,175,250
"Thursday, 29 August 2019",3,342,338,255,413,102,,37,650,552,120,,81,35,171,497,306,22,351,8,733,230,23,838,1238,710,123,262,37,988,1413,8,39,240,28,206,314,932,220,530,71,126,272,143,243
"Friday, 30 August 2019",6,256,255,193,317,105,,40,606,462,108,,98,26,147,449,269,33,393,2,658,220,31,743,1067,611,122,170,55,837,1335,6,25,201,31,133,252,895,167,486,87,75,285,133,153
"Saturday, 31 August 2019",10,11,85,266,139,129,,74,249,218,57,,60,27,48,318,260,13,362,23,281,508,48,240,532,620,134,389,74,630,1038,6,29,107,29,204,131,813,115,506,135,310,124,71,219
"Sunday, 1 September 2019",25,61,98,422,167,150,,55,266,333,25,,67,24,50,227,416,10,407,31,431,567,21,302,717,841,83,717,58,1006,1191,13,30,159,15,274,133,1286,165,817,229,306,125,82,369
"Monday, 2 September 2019",16,365,332,270,460,116,,30,632,572,100,,87,42,193,471,307,43,424,18,828,301,22,959,1446,845,119,313,72,1071,1428,12,34,282,32,245,315,1219,237,486,156,138,304,133,253
"Tuesday, 3 September 2019",0,246,264,149,312,67,,15,521,361,104,,62,42,161,353,225,59,268,4,608,147,24,716,924,460,81,143,46,685,854,3,20,187,26,101,204,928,155,292,25,60,211,116,135
"Wednesday, 4 September 2019",7,217,213,130,274,67,,23,449,341,83,,66,42,160,347,178,26,206,0,523,176,32,627,803,392,76,171,43,652,934,13,21,142,26,138,223,902,123,345,38,56,239,124,132
"Thursday, 5 September 2019",8,275,306,189,337,81,,29,584,376,86,,72,42,169,412,213,37,321,5,588,178,32,703,913,516,95,237,41,835,1157,6,28,162,25,161,254,911,165,374,70,102,305,135,155
"Friday, 6 September 2019",1,201,177,137,254,60,,21,399,316,78,,51,42,128,307,181,18,253,0,403,152,19,595,727,362,68,146,34,626,1047,8,23,121,14,92,198,754,128,383,44,54,235,107,96
"Saturday, 7 September 2019",18,62,106,290,157,120,,64,245,252,48,,53,24,68,200,303,5,324,23,317,420,50,249,599,634,127,370,42,730,1126,5,33,153,25,223,135,877,97,670,168,250,154,100,259
"Sunday, 8 September 2019",7,47,57,156,99,75,,49,153,150,16,,52,24,55,149,226,20,192,16,214,220,17,159,348,368,66,292,31,415,600,4,20,105,12,143,92,825,49,332,89,201,100,71,166
"Monday, 9 September 2019",0,223,232,149,314,74,,11,477,364,85,,65,42,166,366,187,22,263,4,641,182,18,756,997,493,82,195,42,709,891,12,15,198,25,118,232,959,137,333,35,59,265,101,125
"Tuesday, 10 September 2019",4,236,270,130,298,42,,19,524,367,87,,63,42,155,370,194,15,208,2,638,190,31,669,961,459,65,126,55,689,1023,12,22,175,26,126,219,958,134,358,50,68,262,119,147
"Wednesday, 11 September 2019",4,330,300,249,390,95,,48,588,539,93,,87,42,168,457,326,20,388,11,769,296,30,935,1315,755,75,228,56,1014,1347,10,23,224,58,225,279,1090,191,515,92,117,288,154,241
"Thursday, 12 September 2019",4,310,320,226,397,101,,25,635,514,94,,75,42,176,461,279,22,350,8,775,265,31,891,1252,660,109,239,70,989,1462,8,31,214,48,195,269,984,188,506,75,114,286,157,229
"Friday, 13 September 2019",17,261,287,218,314,79,,26,564,467,91,,93,42,178,388,262,19,373,23,616,262,30,749,1088,611,102,239,61,950,1408,2,21,201,31,193,251,1043,188,492,63,106,280,133,177
"Saturday, 14 September 2019",24,85,95,333,130,97,,43,251,256,48,,72,24,56,271,341,10,390,48,250,598,32,224,541,728,94,488,78,580,975,6,32,150,35,210,128,1058,99,520,222,325,151,99,262
"Sunday, 15 September 2019",20,217,87,379,154,108,,41,221,324,32,,82,24,47,242,349,13,378,45,312,528,19,260,600,805,108,704,45,838,1106,7,16,140,50,204,105,1281,111,692,179,341,131,76,296
"Monday, 16 September 2019",9,315,320,236,453,110,,28,708,574,111,,87,42,207,483,292,20,379,2,850,304,30,997,1466,823,123,306,51,1168,1552,1,25,292,41,250,338,1294,236,529,139,94,350,160,263
"Tuesday, 17 September 2019",11,339,378,218,454,107,,33,751,571,99,,79,42,192,459,344,19,409,13,765,241,20,885,1376,731,129,299,50,1123,1389,5,21,283,44,188,341,1285,179,508,59,135,300,133,214
"Wednesday, 18 September 2019",33,353,342,261,411,111,,34,702,614,117,,109,42,192,501,320,20,454,12,828,273,31,968,1405,832,126,354,60,1219,1556,11,23,250,40,205,338,1375,227,610,143,145,334,152,234
"Thursday, 19 September 2019",7,373,330,281,446,110,,56,723,590,113,,87,42,199,474,302,21,417,11,839,262,22,915,1427,736,132,293,40,1107,1639,5,30,266,38,240,300,1305,202,557,89,111,313,155,249
"Friday, 20 September 2019",27,302,285,248,391,114,,25,658,521,96,,83,42,177,486,275,20,411,9,784,264,20,868,1260,742,159,303,39,996,1645,13,19,247,38,210,312,1247,220,614,110,78,320,132,226
"Saturday, 21 September 2019",26,249,114,412,177,160,,63,221,332,51,,93,24,71,309,300,14,456,13,368,573,47,389,781,968,190,609,44,956,1265,14,28,181,26,347,153,1547,150,717,232,407,124,133,330
"Sunday, 22 September 2019",26,258,105,409,165,122,,51,267,375,37,,77,24,51,248,302,12,378,53,460,522,70,273,755,928,127,638,53,959,1179,10,17,160,22,257,146,1372,180,838,231,323,117,98,412
"Monday, 23 September 2019",9,356,325,217,456,99,,32,715,554,96,,80,42,183,504,269,17,376,0,923,311,14,993,1440,808,95,248,59,1084,1347,9,24,264,37,237,363,1138,247,504,108,101,326,182,237
"Tuesday, 24 September 2019",2,170,198,91,232,70,,12,432,304,121,,69,42,153,279,166,14,190,5,495,106,13,551,739,332,60,123,31,583,727,9,21,121,13,92,192,660,136,310,14,39,189,122,102
"Wednesday, 25 September 2019",1,201,202,108,268,71,,15,460,303,93,,66,42,163,320,155,12,265,2,501,122,17,627,806,379,68,144,43,653,843,8,24,126,21,104,233,709,123,334,25,45,219,119,99
"Thursday, 26 September 2019",3,228,241,163,315,63,,4,540,397,98,,70,42,180,393,149,17,250,4,495,135,14,661,920,394,65,125,40,639,996,8,30,193,25,114,277,709,134,346,62,43,257,109,104
"Friday, 27 September 2019",16,250,257,204,323,86,,26,602,427,116,,91,42,187,434,179,13,282,2,582,182,15,701,1025,468,85,167,57,834,1244,10,21,224,17,112,296,968,155,436,87,81,321,161,154
"Saturday, 28 September 2019",3,169,110,264,157,142,,55,217,290,70,,92,24,69,326,301,16,375,27,248,484,27,255,530,781,137,440,60,658,919,7,29,148,29,211,165,1084,82,554,153,335,124,107,199
"Sunday, 29 September 2019",7,221,116,338,148,119,,58,242,327,45,,52,24,45,253,382,16,312,20,299,447,21,264,681,717,129,651,50,887,1051,4,16,143,11,257,134,1290,141,650,154,307,93,86,310
"Monday, 30 September 2019",11,197,240,123,305,61,,16,503,352,88,,75,42,181,331,151,22,174,10,618,116,17,647,955,476,75,136,40,632,912,7,25,190,19,124,290,678,144,2434,74,50,213,129,146
"Tuesday, 1 October 2019",10,240,297,181,387,88,,17,643,435,104,,91,42,191,380,224,9,221,11,688,206,27,820,1061,523,107,161,48,801,1116,4,21,188,21,141,288,932,173,3082,111,71,254,120,183
"Wednesday, 2 October 2019",3,270,252,161,326,104,,25,607,446,91,,77,42,109,420,282,9,256,0,614,193,23,754,1024,488,75,163,42,811,1069,7,23,195,7,165,261,858,166,5729,34,53,245,154,168
"Thursday, 3 October 2019",15,275,300,219,395,89,,25,659,511,120,,108,42,177,458,267,19,258,20,613,250,42,744,1066,555,99,160,59,906,1277,7,29,214,10,191,319,1108,151,495,116,131,235,147,201
"Friday, 4 October 2019",12,284,252,259,347,76,,49,573,465,94,,82,42,185,406,288,10,275,12,564,203,31,697,1058,525,100,320,33,979,1485,10,21,185,8,208,316,1147,159,595,178,98,222,151,213
"Saturday, 5 October 2019",8,54,103,279,139,115,,63,243,185,41,,73,24,53,243,352,12,305,29,316,516,33,220,492,614,90,413,40,636,995,8,32,113,15,223,163,1004,89,465,145,289,123,78,221
"Sunday, 6 October 2019",31,217,93,313,125,135,,52,236,288,34,,69,24,40,257,281,24,327,44,411,474,24,266,646,904,100,470,40,762,1168,6,16,156,1,179,113,1202,132,581,244,263,101,90,254
"Monday, 7 October 2019",14,329,239,163,362,98,,40,621,454,104,,67,42,198,456,246,20,246,6,736,231,28,794,1167,630,100,170,47,930,1151,9,24,231,0,186,376,1049,183,393,111,67,298,133,171
"Tuesday, 8 October 2019",16,342,362,268,428,122,,50,761,586,115,,78,42,185,527,304,15,374,20,805,319,35,892,1372,850,106,421,43,1174,1538,9,21,267,0,253,378,1463,221,590,159,214,296,210,270
"Wednesday, 9 October 2019",21,386,318,234,458,137,,35,785,612,90,,89,42,211,574,313,7,417,9,902,368,31,941,1431,909,141,527,40,1362,1835,11,23,279,18,264,444,1637,223,807,221,132,257,221,293
"Thursday, 10 October 2019",4,273,296,218,334,82,,29,652,428,115,,88,42,214,431,228,6,230,2,615,183,31,676,1030,498,117,148,37,847,1146,3,30,193,0,180,356,1019,160,404,106,62,286,147,161
"Friday, 11 October 2019",6,170,159,212,221,56,,9,397,277,85,,64,42,158,290,135,8,125,15,394,133,31,469,635,352,65,187,42,514,967,5,21,141,0,99,229,628,93,348,69,60,206,160,98
"Saturday, 12 October 2019",39,220,134,336,190,138,,44,318,322,63,,72,24,81,339,348,22,432,37,326,632,41,290,622,756,174,498,50,852,1101,9,29,129,3,247,196,1402,152,617,223,267,129,106,269
"Sunday, 13 October 2019",33,284,110,377,199,128,,92,295,397,36,,81,24,70,306,412,17,412,41,481,687,27,357,828,1100,205,798,46,1006,1259,11,16,172,20,303,169,1582,193,854,314,392,145,111,366
"Monday, 14 October 2019",2,304,249,186,321,76,,14,583,394,92,,68,42,191,337,207,13,248,1,601,194,7,670,991,440,100,100,31,667,1246,6,24,187,0,113,261,816,139,317,27,33,252,127,223
"Tuesday, 15 October 2019",12,175,168,167,217,55,,12,403,237,97,,55,42,132,279,154,9,154,0,351,97,25,432,582,267,53,135,45,471,1193,9,21,99,10,87,202,639,87,237,31,26,181,103,79
"Wednesday, 16 October 2019",9,334,306,214,407,118,,31,784,549,115,,85,42,199,508,298,19,428,11,672,240,19,862,1265,671,124,203,54,1021,1333,11,23,251,115,213,370,1106,177,466,56,98,298,171,189
"Thursday, 17 October 2019",32,385,355,215,433,125,,29,761,535,136,,86,33,208,521,256,22,397,3,684,283,31,834,1292,672,143,192,53,944,1270,11,30,239,58,204,344,1171,200,496,63,112,280,158,200
"Friday, 18 October 2019",21,334,286,264,359,100,,37,761,562,107,,91,23,199,578,278,21,441,20,775,323,43,899,1311,710,131,259,44,1006,1343,11,33,256,45,210,368,1246,204,596,87,107,309,182,224
"Saturday, 19 October 2019",11,206,109,303,158,159,,38,259,295,57,,75,21,61,258,284,17,396,22,269,502,48,211,472,623,153,239,55,617,1074,9,47,152,41,191,191,974,86,461,126,278,131,104,201
"Sunday, 20 October 2019",17,240,101,318,149,149,,50,310,300,45,,82,24,82,306,414,23,377,45,456,626,22,408,830,1080,144,676,47,690,1170,12,33,162,40,325,190,992,184,578,323,353,128,188,454
"Monday, 21 October 2019",6,388,317,196,490,120,,34,792,616,119,,94,41,181,511,277,16,394,9,907,325,36,975,1505,777,145,292,64,1099,1168,5,31,283,43,248,403,1261,249,521,100,129,310,177,252
"Tuesday, 22 October 2019",15,407,376,194,407,110,,24,764,544,114,,97,42,173,476,286,20,325,4,724,306,27,878,1295,647,133,234,55,890,1145,8,25,235,50,198,377,1106,173,441,76,79,301,219,199
"Wednesday, 23 October 2019",6,216,207,153,247,68,,26,477,353,100,,63,16,119,360,226,18,248,0,383,114,48,437,800,379,95,153,43,571,1275,13,16,160,10,104,231,702,133,379,48,38,231,184,98
"Thursday, 24 October 2019",4,369,325,225,339,95,,28,691,460,119,,94,22,149,488,254,17,373,3,498,220,10,550,960,490,125,234,49,797,1226,15,37,211,31,151,345,1024,149,446,57,73,244,196,142
"Friday, 25 October 2019",8,342,257,254,332,107,,30,585,382,93,,97,26,184,421,216,19,384,9,573,215,12,715,982,497,133,229,57,789,1222,7,26,201,20,185,296,927,152,525,69,66,269,223,182
"Saturday, 26 October 2019",20,216,89,291,139,179,,40,253,288,46,,88,30,53,218,301,11,381,73,285,550,36,293,524,635,220,503,57,695,925,7,24,129,46,225,155,1108,130,729,565,292,97,132,228
"Sunday, 27 October 2019",33,288,110,350,120,128,,52,257,376,47,,88,4,38,223,265,21,405,86,444,462,22,330,766,1027,265,890,44,968,1247,16,36,187,54,315,157,1451,180,1129,211,348,109,111,386
"Monday, 28 October 2019",26,228,82,266,141,116,,47,236,297,41,,48,34,48,425,328,13,337,59,397,456,12,343,594,718,157,808,33,854,944,9,21,146,26,215,135,1303,118,823,310,300,106,97,330
"Tuesday, 29 October 2019",13,372,323,209,444,97,,39,777,525,107,,69,29,174,434,275,19,347,2,818,261,30,886,1348,668,143,230,65,990,1340,9,36,253,40,185,368,1102,193,507,82,73,311,190,234
"Wednesday, 30 October 2019",23,463,350,230,482,136,,36,838,600,101,,86,48,195,483,332,21,522,2,865,290,34,1030,1586,762,134,133,54,1163,1575,14,50,279,64,281,376,1407,246,643,97,116,353,220,260
"Thursday, 31 October 2019",19,383,377,237,459,126,,38,787,595,122,,70,41,226,488,295,23,452,8,786,268,35,1043,1457,714,126,242,63,1085,1734,12,38,256,43,196,417,1349,228,636,99,89,353,204,256
"Friday, 1 November 2019",9,354,286,254,398,100,,30,648,433,110,,89,37,186,434,242,24,445,15,741,251,19,853,1241,598,153,170,48,924,1262,15,31,242,39,177,356,1104,184,604,91,91,294,191,209
"Saturday, 2 November 2019",38,162,142,321,172,202,,46,319,392,70,,83,22,50,282,329,18,496,13,377,586,48,323,801,983,222,384,48,961,1032,10,33,167,42,241,213,1486,168,811,195,354,148,127,276
"Sunday, 3 November 2019",23,281,106,391,152,148,,77,312,396,37,,77,31,53,290,356,13,441,25,384,658,36,316,916,1109,220,408,52,1132,1220,21,37,166,52,356,194,1730,178,788,202,429,126,97,444
"Monday, 4 November 2019",37,531,370,233,518,131,,51,822,648,131,,83,59,216,444,376,28,532,19,1003,366,38,1157,1771,988,196,305,55,1359,1134,15,48,369,50,275,436,1592,285,680,153,121,361,230,290
"Tuesday, 5 November 2019",39,572,429,254,544,158,,62,955,771,117,,85,57,248,391,420,26,580,9,1025,393,29,1194,1908,1089,163,290,56,1547,1528,11,43,345,56,312,481,1980,325,776,128,168,373,236,354
"Wednesday, 6 November 2019",46,434,391,326,534,134,,50,917,643,111,,90,46,214,638,346,20,511,31,1289,364,42,1128,1703,1013,170,262,63,1279,1699,12,41,317,66,288,432,1623,279,727,130,173,343,191,288
"Thursday, 7 November 2019",22,431,435,352,485,153,,46,848,646,110,,102,41,232,490,328,30,494,10,952,379,18,1070,1688,941,169,295,61,1452,1805,23,55,316,50,286,439,1866,222,762,124,155,347,203,297
"Friday, 8 November 2019",28,426,337,305,449,128,,31,771,537,114,,89,40,191,550,297,29,475,19,1124,305,40,922,1441,814,159,260,41,1203,1842,11,61,315,43,211,387,1530,229,719,144,163,324,225,284
"Saturday, 9 November 2019",23,174,112,279,185,153,,60,288,246,62,,72,50,78,246,352,9,448,10,399,546,37,251,589,774,184,287,49,691,1063,12,30,132,37,211,172,1189,134,563,211,339,131,135,148
"Sunday, 10 November 2019",14,60,51,100,67,56,,18,116,96,36,,37,2,61,103,97,10,153,16,117,90,18,98,220,222,71,234,30,256,381,5,11,60,16,102,75,464,37,188,76,106,89,80,123
"Monday, 11 November 2019",13,428,339,205,473,123,,33,712,519,107,,73,36,172,408,297,15,390,15,912,273,35,998,1464,730,151,185,64,1111,1421,11,40,279,25,191,383,1287,219,572,117,115,327,192,226
"Tuesday, 12 November 2019",15,280,262,148,326,90,,30,582,389,107,,68,34,194,342,316,8,346,0,589,199,23,682,985,592,136,139,46,822,1031,12,29,189,23,141,306,1067,160,426,80,86,248,142,150
"Wednesday, 13 November 2019",27,414,384,302,562,140,,50,895,649,94,,80,56,196,613,448,35,490,8,1034,417,34,1162,1703,1090,159,287,63,1332,1749,14,49,298,54,318,407,1641,243,769,141,155,348,227,330
"Thursday, 14 November 2019",14,249,254,133,320,86,,16,489,359,98,,81,19,214,352,243,21,375,0,730,157,33,728,899,486,79,150,53,730,1049,16,28,190,23,109,268,953,174,392,78,59,253,186,140
"Friday, 15 November 2019",8,483,361,261,417,150,,51,754,575,104,,81,46,201,512,398,28,445,19,914,326,37,913,1442,824,176,227,50,1157,1719,14,32,275,39,249,412,1442,243,771,117,118,342,232,247
"Saturday, 16 November 2019",24,253,144,383,185,190,,56,349,339,64,,79,29,72,283,385,15,443,46,500,689,56,367,800,984,227,388,73,872,1140,11,43,149,52,326,211,1470,103,711,216,397,120,124,328
"Sunday, 17 November 2019",22,297,104,367,171,138,,61,305,375,33,,87,19,60,306,429,22,409,45,601,631,24,359,733,974,180,504,49,1014,1110,15,30,218,42,298,190,1536,159,754,290,378,89,109,398
"Monday, 18 November 2019",26,285,212,128,294,69,,15,459,333,82,,74,20,163,312,175,13,337,5,836,132,14,654,862,407,106,141,40,711,943,10,33,154,13,93,243,823,137,332,49,40,224,143,119
"Tuesday, 19 November 2019",10,472,454,309,535,183,,56,907,730,91,,107,44,204,587,376,19,457,14,1088,400,30,1175,1804,1058,206,250,53,1411,1641,12,51,332,52,239,430,1739,245,685,181,210,355,194,369
"Wednesday, 20 November 2019",17,471,374,255,509,134,,39,756,570,115,,92,38,212,550,374,31,476,10,967,335,43,1096,1518,836,140,243,77,1182,1583,29,37,253,48,210,431,1451,217,631,116,126,327,195,225
"Thursday, 21 November 2019",6,414,396,309,514,179,,47,800,659,87,,75,39,189,509,393,27,453,5,933,365,42,1130,1637,940,171,290,70,1402,1837,14,43,305,52,277,381,1741,294,693,214,158,377,207,292
"Friday, 22 November 2019",6,328,345,310,421,122,,93,718,540,90,,117,44,209,496,370,31,343,15,772,331,46,976,1405,808,187,232,70,1165,1763,15,56,310,32,261,405,1467,227,721,108,126,321,212,273
"Saturday, 23 November 2019",50,55,135,326,207,207,,45,273,358,26,,74,23,85,218,412,21,403,78,374,492,65,312,709,1026,239,352,67,988,1096,15,37,189,36,224,183,1570,170,706,179,362,134,139,297
"Sunday, 24 November 2019",40,250,109,347,142,178,,51,265,414,27,,81,24,70,276,362,19,483,48,302,513,28,283,711,1091,224,419,47,970,914,16,24,177,33,283,171,1521,190,696,262,487,108,115,336
"Monday, 25 November 2019",19,448,382,234,527,157,,56,813,720,107,,102,55,237,443,386,29,485,17,999,357,37,1187,1787,1018,200,310,64,1386,1585,7,55,304,50,263,421,1588,291,633,178,124,373,197,312
"Tuesday, 26 November 2019",22,520,432,329,569,144,,76,893,711,113,,83,68,233,602,381,36,578,10,1023,416,27,1206,1875,1130,188,283,64,1606,1753,20,41,352,51,264,481,1956,298,617,115,183,383,185,283
"Wednesday, 27 November 2019",25,551,391,329,552,125,,58,889,730,105,,86,59,242,582,431,22,537,13,1136,357,40,1116,1759,1102,187,286,51,1434,1802,16,45,316,42,269,439,1680,273,710,135,150,390,241,347
"Thursday, 28 November 2019",14,429,423,309,543,132,,46,917,685,95,,90,64,219,615,366,27,492,13,1634,331,45,1141,1676,937,167,286,55,1339,1850,21,47,326,34,251,496,1710,263,639,132,135,365,199,279
"Friday, 29 November 2019",20,327,287,294,419,83,,64,656,481,92,,101,48,221,514,354,35,459,13,761,262,108,925,1313,688,170,244,58,1132,1820,18,38,270,38,204,375,1436,244,724,109,86,304,216,243
"Saturday, 30 November 2019",12,185,106,257,162,148,,33,297,242,41,,83,26,80,291,395,25,419,50,340,570,46,292,614,761,223,318,48,872,1000,10,23,138,19,259,154,1420,162,714,214,227,127,163,272
"Sunday, 1 December 2019",28,260,94,305,162,99,167,39,243,339,46,,78,13,76,242,276,25,314,21,436,410,21,310,615,742,221,349,53,835,799,18,18,133,34,260,157,1303,170,622,132,242,140,124,319
"Monday, 2 December 2019",23,439,388,253,539,101,342,35,842,684,85,,92,50,266,594,305,19,430,17,1194,308,30,1183,1677,844,175,195,65,1355,1667,14,42,316,39,231,440,1524,242,652,119,115,306,206,285
"Tuesday, 3 December 2019",26,371,381,261,530,116,266,38,790,558,105,,72,31,246,542,336,17,375,19,1040,289,27,1051,1503,863,123,215,93,1121,1420,7,45,287,36,197,409,1398,231,581,102,127,345,209,240
"Wednesday, 4 December 2019",25,459,405,325,533,140,289,60,862,698,106,,107,55,238,611,453,33,623,16,989,368,32,1181,1758,1037,172,262,81,1500,1684,12,39,325,47,250,500,1838,262,838,168,138,367,222,294
"Thursday, 5 December 2019",21,403,392,373,469,141,305,58,447,677,105,,87,42,232,613,368,13,550,26,896,376,40,1137,1603,927,170,234,63,1485,1710,23,51,352,50,219,434,1762,253,792,162,126,353,204,277
"Friday, 6 December 2019",18,349,270,300,409,107,273,58,164,505,97,,98,43,206,498,323,20,470,13,774,347,49,906,1363,751,187,207,88,1296,1577,20,45,256,36,233,355,1669,222,784,148,87,281,225,266
"Saturday, 7 December 2019",14,72,141,335,226,142,141,29,316,318,65,,75,18,96,323,327,11,394,21,296,585,46,299,629,791,184,257,49,969,838,11,38,147,38,221,168,1504,163,657,139,317,167,129,239
"Sunday, 8 December 2019",28,186,90,317,152,86,160,50,254,254,34,,65,25,74,233,237,24,358,15,227,434,26,266,504,624,96,298,48,794,743,12,19,122,38,219,153,1252,105,552,164,345,85,107,261
"Monday, 9 December 2019",19,449,414,273,619,158,355,45,728,703,121,,75,50,221,627,386,24,482,13,1141,353,23,1287,1868,931,172,222,89,1533,1746,17,40,340,40,269,502,1663,279,743,179,118,401,237,306
"Tuesday, 10 December 2019",21,526,454,350,645,173,356,47,799,740,109,,72,70,272,670,387,25,603,14,1122,374,28,1305,1903,1008,195,219,82,1692,1875,17,47,390,45,284,606,1948,282,842,123,167,416,228,287
"Wednesday, 11 December 2019",14,469,448,292,615,142,364,46,869,637,114,,91,52,255,591,398,28,566,15,1086,384,52,1292,1789,977,154,268,76,1706,1842,20,46,334,72,266,541,1847,293,856,145,137,398,255,283
"Thursday, 12 December 2019",13,489,431,335,574,139,371,41,675,681,126,,84,53,240,543,372,24,550,16,913,319,41,1134,1648,877,185,209,63,1536,1859,20,55,295,53,234,497,1864,223,823,125,147,371,245,289
"Friday, 13 December 2019",14,376,340,294,456,115,319,38,589,587,122,,100,50,196,466,330,28,470,25,765,283,40,907,1346,726,177,157,57,1180,1621,27,39,292,34,228,398,1487,202,700,108,94,310,179,244
"Saturday, 14 December 2019",33,137,154,215,171,133,154,49,321,196,53,,94,23,75,257,293,17,343,29,207,456,78,229,451,598,203,215,70,676,1028,9,27,141,36,201,182,1029,101,570,122,234,104,116,196
"Sunday, 15 December 2019",37,234,118,400,147,117,118,40,276,309,36,,71,26,92,232,273,16,354,28,266,489,28,262,605,806,128,330,67,849,837,9,32,155,55,290,148,1267,140,591,217,376,81,124,308
"Monday, 16 December 2019",15,395,342,227,442,97,297,37,730,519,73,,70,41,224,437,263,23,411,4,908,257,34,1036,1383,679,119,161,57,1200,1334,6,40,268,51,174,390,1316,231,554,67,90,263,178,181
"Tuesday, 17 December 2019",32,238,243,109,269,73,167,21,862,339,95,,76,23,166,301,192,9,217,0,553,124,13,620,886,422,94,67,46,719,822,9,19,175,17,86,215,816,127,312,21,49,208,131,127
"Wednesday, 18 December 2019",11,223,261,146,327,84,232,33,857,299,97,,79,22,183,320,202,15,280,13,595,177,30,660,872,358,113,79,58,768,1030,10,21,166,24,146,284,824,116,466,59,66,216,125,141
"Thursday, 19 December 2019",26,396,366,313,461,157,290,56,723,577,124,,85,40,209,455,309,19,378,16,774,377,35,916,1432,961,170,222,68,1318,1608,10,63,296,42,272,379,1550,219,697,119,168,323,215,264
"Friday, 20 December 2019",3,242,250,204,280,111,222,25,542,396,86,,74,29,140,335,250,20,258,5,532,187,22,655,907,484,100,119,44,824,1285,12,29,178,33,133,272,978,169,548,86,76,229,165,128
"Saturday, 21 December 2019",24,178,122,251,155,136,147,84,320,262,55,,75,22,78,270,274,8,330,47,337,385,74,258,561,867,175,392,53,813,872,13,25,163,23,186,159,1267,178,611,141,238,123,154,248
"Sunday, 22 December 2019",23,247,105,300,146,132,122,52,276,342,30,,57,23,51,239,282,15,370,46,353,454,24,297,599,907,269,452,54,840,838,9,33,155,36,199,139,1226,146,555,165,324,91,107,297
"Monday, 23 December 2019",31,206,130,149,194,94,230,42,88,232,51,,70,11,96,237,229,15,248,35,321,216,40,390,604,503,183,266,67,653,738,11,24,134,26,153,175,856,93,444,139,126,169,161,186
