Date,Archibald Park Cyclists,Beach Rd Cyclists,Carlton Gore Rd Cyclists,Curran St,Dominion Rd,East Coast Rd Cyclists,Franklin Road,GI TO TAMAKI DR SECTION-1 Cyclists,Grafton Bridge Cyclists,Grafton Gully Cyclists,Grafton Rd Cyclists,Great North Rd NB Towards CBD Cyclists,Great South Rd,Highbrook Pathway Cyclists,Hopetoun St Cyclists,Karangahape Rd Cyclists,Lagoon Dr Cyclists,Lake Rd Northcote Cyclists,Lake Road Total Cyclists New,Leigh Rd Shared Path Cyclists,Lightpath Cyclists,Mangere Bridge Cyclists,Mangere Safe Routes Cyclists,Nelson St Cyclists,NW Cycleway Kingsland Cyclists,NW Cycleway TeAtatu Cyclists,Oceanview Rd Cyclists,Orewa Path Cyclists,Ormiston Rd,Quay St - Spark Arena,Quay St Eco Display Classic Cyclists,Queen St Pukekohe Cyclists,Rankin Ave Shared Path Cyclists,Saint Lukes Rd,SH20A Shared Path Cyclists,SW Shared Path Cyclists,Symonds St Total,Tamaki Drive,TeAtatu Peninsula Shared Path Cyclists,TeWero Bridge Bike Counter Cyclists,Twin Streams Shared Path Cyclists,Upper Harbour Shared Path Cyclists,Upper Queen St Cyclists,Victoria Street West Cyclists,Waterview Unitec Shared Path Cyclists,Westhaven Drive Cyclists
Sun 11 Oct 2020,18,181,103,243,164,100,124,58,343,260,97,,66,18,64,,210,3,384,54,223,379,8,226,578,724,132,238,28,505,538,14,28,192,16,198,91,,64,292,193,227,94,,455,812
Mon 12 Oct 2020,18,311,296,145,302,81,175,31,648,394,204,,59,23,159,,187,19,305,6,520,159,4,612,993,435,113,147,28,602,752,10,25,201,25,81,231,,90,152,35,48,224,,234,696
Tue 13 Oct 2020,6,230,253,141,334,73,172,23,491,334,167,,52,21,136,,151,6,234,3,453,131,16,548,821,418,68,79,42,482,633,5,21,151,23,104,215,,84,139,42,34,192,,238,466
Wed 14 Oct 2020,48,499,478,355,469,168,289,74,1019,696,261,,84,50,185,,331,26,556,12,718,372,22,941,1700,1014,135,331,68,1203,1348,11,42,338,54,210,432,,146,447,148,225,329,,488,1032
Thu 15 Oct 2020,7,437,468,229,397,123,244,35,843,612,202,,79,41,198,,273,17,437,13,644,271,8,748,1355,663,103,233,36,960,1123,8,32,261,23,127,340,,92,313,66,83,275,,342,587
Fri 16 Oct 2020,26,369,382,277,393,147,237,37,775,515,229,,87,39,179,,296,16,450,15,565,366,35,769,1228,774,150,308,50,853,1098,18,26,251,39,193,357,,116,399,103,117,261,,422,709
Sat 17 Oct 2020,14,255,163,409,212,190,152,74,407,415,126,,74,39,74,,326,9,495,57,288,589,29,333,855,1070,199,339,74,836,908,12,35,234,52,289,191,,101,545,236,359,116,,499,912
Sun 18 Oct 2020,45,229,151,444,225,127,118,75,374,371,99,,74,30,82,,343,11,427,59,330,559,11,348,800,1065,125,455,54,931,801,11,35,193,42,330,180,,99,543,235,310,124,,575,1014
Mon 19 Oct 2020,12,456,446,258,507,127,256,113,879,600,224,,79,50,171,,275,28,407,14,694,301,17,892,1484,767,141,311,52,960,1107,13,43,304,13,186,365,,107,355,129,105,334,,465,798
Tue 20 Oct 2020,17,527,480,291,484,169,300,133,947,656,273,,88,36,183,,312,18,452,13,759,350,23,918,1630,915,148,282,46,1147,1309,15,22,304,52,242,420,,137,414,125,189,309,,472,983
Wed 21 Oct 2020,24,472,504,335,524,152,300,128,972,615,246,,92,41,187,,305,19,557,9,747,337,28,915,1610,924,146,358,50,1148,1350,20,38,301,48,192,432,,129,453,110,143,328,,515,872
Thu 22 Oct 2020,31,482,471,373,473,141,326,64,905,660,262,,107,44,181,,254,22,524,12,701,399,20,855,1551,917,128,306,84,1202,1347,23,39,326,52,211,415,,127,401,130,123,336,,498,814
Fri 23 Oct 2020,23,355,305,285,349,94,219,43,685,464,208,,79,39,140,,238,26,468,9,506,297,36,631,1053,640,148,222,54,795,974,5,30,260,32,176,332,,93,352,83,84,294,,384,811
Sat 24 Oct 2020,36,246,131,372,176,137,121,41,370,308,114,,82,40,57,,298,2,434,113,321,607,51,314,694,881,197,399,64,860,922,6,36,207,36,214,189,,91,509,200,354,102,,485,890
Sun 25 Oct 2020,28,214,113,427,168,94,114,64,302,296,86,,87,28,52,,325,10,341,140,273,513,8,300,671,921,242,536,40,853,833,8,18,176,33,294,183,,96,500,284,265,71,,456,877
Mon 26 Oct 2020,67,236,134,428,194,152,111,90,375,335,110,,61,36,50,,313,19,424,69,345,574,78,382,704,917,216,662,36,1000,1011,15,29,199,50,362,171,,109,581,262,291,95,,558,945
Tue 27 Oct 2020,28,477,483,327,498,128,288,50,937,651,234,,101,66,211,,287,14,473,38,789,401,34,931,1629,908,174,324,56,1155,1337,13,41,326,51,245,416,,149,414,143,161,337,,518,947
Wed 28 Oct 2020,14,478,470,347,509,146,332,49,998,626,250,,98,46,212,,262,17,540,19,719,352,22,983,1667,932,134,246,38,1142,1355,19,34,340,42,205,425,,138,454,98,113,340,,476,937
Thu 29 Oct 2020,10,458,495,341,464,122,312,40,924,598,242,,96,40,220,,360,23,502,19,691,338,28,913,1573,832,131,231,56,1104,1373,14,30,303,34,245,414,,119,442,113,122,319,,456,816
Fri 30 Oct 2020,16,384,426,348,433,110,266,38,816,515,224,,113,59,211,,240,33,449,15,641,304,20,804,1326,751,171,227,70,1038,1344,10,44,305,38,174,362,,111,455,112,95,307,,459,969
Sat 31 Oct 2020,3,168,166,286,130,134,104,40,349,262,85,,64,22,71,,198,4,381,37,209,437,52,220,556,628,122,220,44,530,611,16,20,149,19,172,151,,79,282,202,287,115,,316,731
